paragraphs	80
parallel	120
paralleling	20
parapet	60
paris	280
park._--just	20
park._--northeast	20
parked	20
parks	580
parkway	320
parkway._--a	20
parkway._--it	20
parkway._--the	20
part	1600
particular	60
pass	140
passageway	20
passengers	260
passengers|tonnage	20
passenger|delivery|single|double|pedestrians	20
passes	60
passing	320
patched	20
patchwork	40
path	20
patience	20
patrons	20
pavements	60
paving	100
payments	80
peculiar	160
peculiarities	20
pedestrians,[42	20
penalties	20
penalty	20
pending	20
penn	1040
penn-liberty	160
penny-wise	20
people	640
per	1840
percent	40
perfect	20
perform	40
performances	20
performing	60
perhaps	180
period	200
periodic	20
periodically	20
permanently	40
permission	140
permit	140
perpetuate	20
perrysville	40
person	80
personally	20
perspectives	20
pertaining	40
pg	20
philadelphia	160
phrase	80
physical	280
pictorial	20
picturesqueness	40
piecemeal	140
pieces	120
piercing	20
piers	440
pike	300
pinched	20
pipes	20
pit	20
pittsburgh--allegheny	20
pittsburgh--monongahela	20
place	560
placid	20
plainly	20
plan	1720
planning	520
plant	20
planting	40
plat	20
plates	20
playfields	40
playground	280
playground.[14	20
playground._--at	40
playground._--in	20
playground._--the	20
plays	40
pleasure	280
plot	20
po	20
pocketed	20
pockets	40
pointed	20
points	640
political	20
population	180
port	20
portion	580
position	20
positive	40
possessed	20
possibilities	20
possibility	80
possible	980
possibly	60
post-office	20
posted	80
posts	20
potentially	20
pound-foolish	20
pounds	20
power	180
practical	100
practice	40
pre	40
precedents	20
precipitous	220
precise	100
predominance	20
preferred	60
prejudice	20
premature	20
premium	20
preparation	200
prepare	40
prepared	100
present	1960
present._--the	20
press	20
pressing	40
pressure	20
prevail	40
prevailing	100
prevented	40
prevents	20
previous	20
price	60
price's	20
primarily	20
primitive	100
principally	20
principles	20
print	20
printing	40
prism	20
private	320
probability	40
probable	120
probably	500
problem	600
procedure	420
proceeded	20
proceedings	20
process	180
process,[10	20
processing	20
producers	20
production	20
productive	40
professor	20
profile	40
profits	20
progress	40
progressive	20
prohibition	20
prohibitive	40
project	1760
projecting	20
promenade	220
prominently	40
promoters	20
promoting	40
promotion	20
promptly	60
pronounced	20
properly	100
properties	140
property	760
proportions	20
proprietary	20
prosaic	20
prospects	20
prosperity	20
protect	60
protecting	20
protection	40
protective	20
proves	20
provide	580
provided	580
provision	240
proximity	20
prussian	20
public	1580
purchase	100
purchaser	20
purely	20
purpose--an	20
purposes	520
put	220
qualities	20
quality	80
quantity	20
quarter--for	20
quarters	40
quasi-public	20
quays	80
queens	120
questions	80
quick	20
race	40
radial	120
radiating	20
railroads	260
railway	120
rains	20
raising	260
ramps	20
range	20
rankin	280
rapidly	20
rarely	20
rates	40
ratio	20
ravine	360
re-alignment	120
re-surveyed	20
re-use	40
reach	340
reaches	60
reaching	240
ready	100
really	60
realm	20
rearrangement	20
reasons	160
rebecca	40
rebuild	20
rebuilt	220
rebuilt.[12	20
receive	80
received	140
recent	80
recognition	20
recognizes	20
recommendation	20
recommended	400
reconstructed	40
reconstructions	20
record	180
recording	20
red	20
redistributing	40
redistribution	60
reduces	20
reducing	80
reduction	100
reference	200
reform	20
regard	320
regarding	20
region--the	20
regions	160
registry	20
regrading	60
regulations	40
reinforced	20
relate	20
related	100
relations	20
relatively	80
release	60
relief	80
relocate	40
relocated	20
remainder	20
remained	40
remains	100
remarks	20
removing	20
rendered	20
renders	40
rentals	20
reported	40
reports	120
representative	20
represents	20
request	40
require	240
require--6	20
required	500
requirement	20
requisite	40
research	40
residences	40
residents	80
resources	40
respectively	20
respects	20
respond	20
response	20
restricted	20
restrictions	60
result	300
resulting	80
retail	240
retailers	40
retain	40
retaining	200
retarded	20
retired	40
returns	40
reward	20
richard	80
richardson	20
ridge	280
rights	20
rigid	20
rise	260
risk	20
river--average	20
river-boat	20
river-bottoms	20
river.[44	20
riverbanks	20
rivers	520
rivers._--"the	20
riverside	180
road--forms	20
road._--just	20
road._--troy	20
road._--washington	20
roadbed	40
roads	260
roadway	320
rob	20
rodmen	20
room	500
ross	160
rough	20
rounded	20
route	720
rules	40
run	2220
running	480
s	200
s/he	20
sacrifice	60
safe	40
said	80
saint	20
sale	100
saloons	20
samuel	20
sanitary	40
sassafras	100
satisfy	20
save	20
saved	80
sawmill	400
say	140
scarce	20
scattered	80
scenic	40
scheme	80
schenley	160
scholastic	20
scows	20
sec	20
secluded	60
seclusion	40
section	1180
secure	260
secured	640
sedgwick	20
see	320
seems	500
seen	100
segregate	20
selected	20
self-respect	20
self-respecting	20
sells	20
seneca	60
sentence	40
separate	120
separated	60
september	40
series	60
seriously	100
seriousness	20
serve	220
served	220
service	100
sets	40
settled	60
settlement	100
seven	20
seventeenth	40
seventh	400
sewerage	40
sewers	100
shabby	20
shade	60
shaded	60
shafts	20
shale	80
shaler	60
shalerville	40
shameful	20
shannon	120
shape	100
share	40
shared	20
sharon	20
sharply	40
sharpsburg	340
sheds	40
sheet	60
sherrard	20
shifted	40
shipped	40
shore	20
short-circuited	20
short-sighted	60
shorter	80
should	3920
show	140
showing	420
shown	320
shrubs	40
side	2260
side-wheel	20
side._--the	20
sidenote	680
sidewalks	140
sidings	40
sight	100
sign	20
significance	20
significant	20
silver	80
similar	120
simplest	40
simplify	20
site	460
situated	80
six-line	20
sixty	40
size	260
sized	20
skill	100
skimped	20
skirt	40
skirting	20
sky	20
slight	100
slope	120
slumping	40
small	660
smallman	20
smithfield	220
smoke	40
snyder	20
soho	380
soho._--at	20
sole	20
solicit	40
solid	100
solution	180
solve	20
sometime	20
somewhere	20
